run,case,mode,frames,global_chroma_jump,global_chroma_acceleration,raw_local_chroma_change,warped_chroma_change,flow_pixels_at_192
stable_final,demo20/P17/i2v/seed42_full.json,i2v,121,0.0008637724095024168,0.0007264366140589118,0.003909443825493023,0.002697714697084545,0.5760352035363515
stable100,demo20/P17/t2v/seed42_full.json,t2v,121,0.0023829727433621883,0.0019062955398112535,0.011391948683497806,0.0062916797120124105,1.815359440073371
oracle60_100,demo20/P17/t2v/seed42_full.json,t2v,121,0.014550084248185158,0.01844904199242592,0.02412493589508813,0.019051203297567553,1.9489055337554115
stable_final,demo20/P17/t2v/seed42_full.json,t2v,121,0.004091313108801842,0.0038213699590414762,0.013535635048901895,0.00734767753892811,1.1413863968336955
stable100,demo20/P18/i2v/seed42_full.json,i2v,121,7.962885865708813e-05,0.0001143344197771512,0.0004986794100356444,0.00039044154412598195,0.05883114656123022
oracle60_100,demo20/P18/i2v/seed42_full.json,i2v,121,0.00015648776025045663,0.00021473503147717565,0.0006832041412659843,0.0005596830408952277,0.0798668167165791
stable_final,demo20/P18/i2v/seed42_full.json,i2v,121,9.980028698919341e-05,0.00013900701014790684,0.0006168585307023023,0.0004157811667634329,0.08195121351939937
stable100,demo20/P18/t2v/seed42_full.json,t2v,121,0.0005429843440651894,0.0007770388037897646,0.0013854522877712347,0.0009493406034986644,0.11653860102718075
oracle60_100,demo20/P18/t2v/seed42_full.json,t2v,121,0.0070305862464010715,0.006252239923924208,0.011797783223058408,0.008683841972864077,0.8150007085409016
stable_final,demo20/P18/t2v/seed42_full.json,t2v,121,0.0005275839357636869,0.000758282549213618,0.0022081858923532613,0.0014228954353408577,0.17138073302339762
stable100,demo20/P19/i2v/seed42_full.json,i2v,121,0.0002657203876879066,0.0003984574868809432,0.0015627666531751554,0.001307862392180444,0.28803392375508946
oracle60_100,demo20/P19/i2v/seed42_full.json,i2v,121,0.009514540433883667,0.016271410509943962,0.011808635931326231,0.011153536227357107,0.37236506646004275
stable_final,demo20/P19/i2v/seed42_full.json,i2v,121,0.0003181806532666087,0.0003570611879695207,0.002267722580897195,0.0015529423724122656,0.33189211894447607
stable100,demo20/P19/t2v/seed42_full.json,t2v,121,0.00197459664195776,0.0007721979636698961,0.0035837736029255512,0.0025601845015141103,0.19669251813659988
oracle60_100,demo20/P19/t2v/seed42_full.json,t2v,121,0.004384492989629507,0.005357901565730572,0.007065282809586885,0.005620360031025484,0.5015271019248757
stable_final,demo20/P19/t2v/seed42_full.json,t2v,121,0.003419941058382392,0.0028647256549447775,0.0056823250595092155,0.004686848802521126,0.38578931194109223
stable100,demo20/P20/i2v/seed42_full.json,i2v,121,0.0005762454238720238,0.0009439999703317881,0.004885018467515086,0.004280402872245759,0.3984425596892834
oracle60_100,demo20/P20/i2v/seed42_full.json,i2v,121,0.0005615857662633061,0.0008939354447647929,0.005285989473729084,0.004577950054469208,0.42934148808320366
stable_final,demo20/P20/i2v/seed42_full.json,i2v,121,0.00030870040063746274,0.00045769839198328555,0.0024663356996218982,0.0026032534476447228,0.10021708672866225
stable100,demo20/P20/t2v/seed42_full.json,t2v,121,0.0006502433097921312,0.0009519912418909371,0.004135526006575674,0.0037127988995052873,0.24779548427710932
oracle60_100,demo20/P20/t2v/seed42_full.json,t2v,121,0.0011632965179160237,0.001886245678178966,0.010362640710081906,0.008009301801212131,0.6280532855540514
stable_final,demo20/P20/t2v/seed42_full.json,t2v,121,0.0011473154881969094,0.001764779444783926,0.009416710515506566,0.00883350671113779,0.4864850933353106
stable100,reference/reference/i2v/seed42_full.json,i2v,121,0.0011166634503751993,0.0016002417542040348,0.006801084238880624,0.004416435667856907,1.7236350064476331
oracle60_100,reference/reference/i2v/seed42_full.json,i2v,121,0.017351992428302765,0.02080770581960678,0.021502062516325773,0.020523601170862094,0.7424813754235705
stable_final,reference/reference/i2v/seed42_full.json,i2v,121,0.0016606003046035767,0.0020799727644771338,0.005957193822056676,0.004909702167302991,1.2704204678535462
